Date,Open,High,Low,Close,Adj Close,Volume
2015-01-02,200,200.651,198.59,198.612,198.612,1199731
2015-01-03,198.612,199.142,196.392,196.486,196.486,1406888
2015-01-04,196.486,196.794,196.261,196.588,196.588,1415419
2015-01-05,196.588,200.436,195.874,199.843,199.843,1537758
2015-01-06,199.843,201.176,199.313,201.053,201.053,1418272
2015-01-07,201.053,202.697,200.758,202.424,202.424,1274343
2015-01-08,202.424,202.853,201.375,202.32,202.32,1630110
2015-01-09,202.32,207.499,202.234,207.271,207.271,1210650
2015-01-10,207.271,208.338,205.315,206.479,206.479,1233985
2015-01-11,206.479,207.536,205.283,207.404,207.404,1792190
2015-01-12,207.404,208.036,203.308,204.761,204.761,1037946
2015-01-13,204.761,205.26,201.222,202.254,202.254,1482061
2015-01-14,202.254,205.469,201.57,205.277,205.277,1439364
2015-01-15,205.277,206.635,205.018,206.626,206.626,1488032
2015-01-16,206.626,209.024,206.523,208.92,208.92,1566742
2015-01-17,208.92,212.445,208.845,211.653,211.653,1617862
2015-01-18,211.653,212.475,210.805,210.818,210.818,2003968
2015-01-19,210.818,214.014,210.121,213.708,213.708,1029774
2015-01-20,213.708,213.774,211.657,211.663,211.663,1717013
2015-01-21,211.663,212.501,211.096,212.352,212.352,1393855
2015-01-22,212.352,213.335,209.056,209.461,209.461,1265473
2015-01-23,209.461,212.094,209.09,211.883,211.883,1600868
2015-01-24,211.883,212.2,204.321,204.742,204.742,1019923
2015-01-25,204.742,205.98,204.499,204.982,204.982,1590442
2015-01-26,204.982,205.746,203.484,204.257,204.257,1174254
2015-01-27,204.257,205.793,203.403,205.005,205.005,1124140
2015-01-28,205.005,205.767,199.441,200.357,200.357,1032437
2015-01-29,200.357,204.514,199.321,202.865,202.865,1045285
2015-01-30,202.865,203.649,201.972,203.637,203.637,1699206
2015-01-31,203.637,203.819,200.935,201.285,201.285,1070539
2015-02-01,201.285,204.576,199.91,203.972,203.972,1373082
2015-02-02,203.972,206.816,203.397,206.744,206.744,1179163
2015-02-03,206.744,206.875,202.452,202.543,202.543,1448176
2015-02-04,202.543,202.948,202.415,202.698,202.698,1280341
2015-02-05,202.698,202.865,201.495,201.902,201.902,1607452
2015-02-06,201.902,202.528,200.13,201.378,201.378,1964360
2015-02-07,201.378,201.789,198.703,199.398,199.398,1426340
2015-02-08,199.398,201.158,198.553,200.604,200.604,1062572
2015-02-09,200.604,202.272,200.19,200.954,200.954,1885492
2015-02-10,200.954,201.78,199.848,199.919,199.919,1726054
2015-02-11,199.919,200.097,198.904,199.218,199.218,1327000
2015-02-12,199.218,200.371,198.655,199.592,199.592,2519694
2015-02-13,199.592,200.578,198.794,198.965,198.965,1473774
2015-02-14,198.965,201.258,198.737,200.378,200.378,1229732
2015-02-15,200.378,200.931,198.201,198.494,198.494,1249525
2015-02-16,198.494,199.633,196.536,197.483,197.483,1545294
2015-02-17,197.483,198.723,197.278,197.511,197.511,1734421
2015-02-18,197.511,198.649,197.126,197.202,197.202,1025611
2015-02-19,197.202,197.828,196.325,197.805,197.805,1522213
2015-02-20,197.805,198.309,194.762,195.082,195.082,1160147
2015-02-21,195.082,195.624,192.834,193.86,193.86,1192558
2015-02-22,193.86,197.394,193.787,197.314,197.314,1320644
2015-02-23,197.314,201.73,196.739,201.016,201.016,1406490
2015-02-24,201.016,201.264,198.122,198.83,198.83,1821400
2015-02-25,198.83,203.558,198.451,202.936,202.936,1893317
2015-02-26,202.936,204.581,201.791,203.87,203.87,1546399
2015-02-27,203.87,204.865,203.465,204.354,204.354,1309350
2015-02-28,204.354,205.954,203.731,205.867,205.867,1600905
2015-03-01,205.867,208.655,205.52,207.956,207.956,1173033
2015-03-02,207.956,208.551,205.452,206.054,206.054,1308101
2015-03-03,206.054,206.882,205.566,206.513,206.513,1105007
2015-03-04,206.513,208.833,206.322,208.191,208.191,1042093
2015-03-05,208.191,208.619,202.267,202.494,202.494,1277266
2015-03-06,202.494,203.629,201.227,203.23,203.23,1183978
2015-03-07,203.23,203.313,199.793,200.694,200.694,1307289
2015-03-08,200.694,201.048,200.029,200.484,200.484,1884063
2015-03-09,200.484,202.978,200.057,201.621,201.621,1169198
2015-03-10,201.621,201.928,199.314,199.448,199.448,1183505
2015-03-11,199.448,203.787,198.723,202.562,202.562,1322462
2015-03-12,202.562,203.288,196.772,197.1,197.1,1035166
2015-03-13,197.1,199.508,196.883,198.802,198.802,1109963
2015-03-14,198.802,200.472,198.784,200.184,200.184,1541858
